House Vote #463 2022-09-29T15:40:00 - S. 3470: End Human Trafficking in Government Contracts Act of 2022
person,state,district,vote,name,party
412476,TN,3,Yea,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Yea,Rep. Scott DesJarlais [R],Republican
412485,VA,9,Yea,Rep. Morgan Griffith [R],Republican
412486,WA,3,Yea,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,Yea,Rep. David McKinley [R],Republican
412500,NV,2,Yea,Rep. Mark Amodei [R],Republican
412501,OR,1,Yea,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Yea,Rep. Thomas Massie [R],Republican
412505,WA,1,Yea,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Yea,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,Yea,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Yea,Rep. Jared Huffman [D],Democrat
412512,CA,7,Yea,Rep. Ami Bera [D],Democrat
412514,CA,15,Yea,Rep. Eric Swalwell [D],Democrat
412515,CA,21,Yea,Rep. David Valadao [R],Republican
412516,CA,26,Yea,Rep. Julia Brownley [D],Democrat
412517,CA,29,Yea,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Yea,Rep. Raul Ruiz [D],Democrat
412520,CA,41,Yea,Rep. Mark Takano [D],Democrat
412521,CA,47,Yea,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Yea,Rep. Juan Vargas [D],Democrat
412523,CA,52,Yea,Rep. Scott Peters [D],Democrat
412529,FL,21,Yea,Rep. Lois Frankel [D],Democrat
412534,IL,10,Yea,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,Yea,Rep. Rodney Davis [R],Republican
412537,IL,17,Yea,Rep. Cheri Bustos [D],Democrat
412541,KY,6,Yea,Rep. Garland “Andy” Barr [R],Republican
412546,MI,5,Yea,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Yea,Rep. Ann Wagner [R],Republican
412550,NC,8,Yea,Rep. Richard Hudson [R],Republican
412557,NH,2,Yea,Rep. Ann Kuster [D],Democrat
412559,NV,4,Yea,Rep. Steven Horsford [D],Democrat
412560,NY,6,Yea,Rep. Grace Meng [D],Democrat
412561,NY,8,Yea,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Yea,Rep. Sean Maloney [D],Democrat
412564,OH,2,Yea,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Yea,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Yea,Rep. David Joyce [R],Republican
